L,L_max,lambda
70.96797509978725,100,0.001
71.00933293142627,100,0.0011689518164985776
71.0569568299894,100,0.0013664483492953259
71.11166967486291,100,0.001597312280060254
71.1743618506606,100,0.0018671810912919207
71.24598375990256,100,0.0021826447283974874
71.32753351851824,100,0.0025514065200312875
71.42003898634927,100,0.002982471286216891
71.52453364610297,100,0.0034863652276780842
71.64202627629635,100,0.004075392965871778
71.77346518331792,100,0.004763938010401341
71.91969874938063,100,0.005568813990945267
72.0814353010973,100,0.00650967523045817
72.25920654405247,100,0.007609496685459876
72.45333981659856,100,0.008895134973108237
72.66394485135928,100,0.0103979841848149
72.89092029959069,100,0.012154742500762865
73.1339838040447,100,0.014208308325339224
73.39272691178309,100,0.016608827826277157
73.66669310241511,100,0.019414919457438805
73.95547395744892,100,0.022695105366946685
74.25881585931383,100,0.02652948464431896
74.57672768059712,100,0.031011689265747787
74.90957909181323,100,0.036251170499885334
75.25817921070235,100,0.04237587160604064
75.62382650610971,100,0.0495353520895917
76.00832309576882,100,0.05790443980602486
76.4139500661476,100,0.06768750009458535
76.84340483363107,100,0.07912342618981323
77.29970609944442,100,0.09249147277217336
77.78607555935885,100,0.10811807510766078
78.30580690467937,100,0.12638482029342984
78.86213106678656,100,0.1477377652598511
79.4580822833785,100,0.17269832906594343
80.0963634456322,100,0.2018760254679039
80.77920346246165,100,0.23598334667821938
81.5081962964732,100,0.2758531617629184
82.2841129946509,100,0.32245905452963947
83.10668536088386,100,0.376939097538836
83.97437205031804,100,0.44062364277735727
84.88413205663252,100,0.5150678076168121
85.83124246308998,100,0.6020894493336132
86.80920235485081,100,0.7038135554931555
87.80975979191884,100,0.8227241341700465
88.82308362528487,100,0.9617248711152965
89.838080295563,100,1.1242100350620863
90.84283370690535,100,1.3141473626117568
91.82513002557022,100,1.536174946671828
92.77302225017333,100,1.795714494371641
93.67539076754761,100,2.0991037201085545
94.5224615658771,100,2.4537511066398165
95.30624863963368,100,2.868316813342012
96.02088961986435,100,3.3529241492495565
96.6628462018899,100,3.919406774847221
97.23094809362803,100,4.581597669054491
97.72627382612765,100,5.3556669177068965
98.15188224364798,100,6.260516572014821
98.51242919390229,100,7.318242219076174
98.81371837674293,100,8.554672535565684
99.06223948359535,100,10.0
