L,L_max,lambda
70.78980841913953,100,0.001
70.80262779801731,100,0.0011689518164985776
70.81745095642097,100,0.0013664483492953259
70.83457444604178,100,0.001597312280060254
70.85433616466003,100,0.0018671810912919207
70.87712106664715,100,0.0021826447283974874
70.9033676598907,100,0.0025514065200312875
70.93357528745616,100,0.002982471286216891
70.9683121171497,100,0.0034863652276780842
71.00822366626797,100,0.004075392965871778
71.05404159233213,100,0.004763938010401341
71.10659238783737,100,0.005568813990945267
71.16680558456932,100,0.00650967523045817
71.23572102012614,100,0.007609496685459876
71.31449477383306,100,0.008895134973108237
71.40440339979536,100,0.0103979841848149
71.50684613237694,100,0.012154742500762865
71.62334475143994,100,0.014208308325339224
71.7555408251069,100,0.016608827826277157
71.90518999149734,100,0.019414919457438805
72.07415299101126,100,0.022695105366946685
72.26438320414677,100,0.02652948464431896
72.47791063790551,100,0.031011689265747787
72.71682261575852,100,0.036251170499885334
72.98324193999565,100,0.04237587160604064
73.27930391931557,100,0.0495353520895917
73.60713436867343,100,0.05790443980602486
73.96883112886796,100,0.06768750009458535
74.36645160721156,100,0.07912342618981323
74.80200783188445,100,0.09249147277217336
75.27746829055754,100,0.10811807510766078
75.79476251065424,100,0.12638482029342984
76.35578048297073,100,0.1477377652598511
76.96235578077608,100,0.17269832906594343
77.61621989144595,100,0.2018760254679039
78.31891699046953,100,0.23598334667821938
79.07167345122959,100,0.2758531617629184
79.87522396229306,100,0.32245905452963947
80.72960439184139,100,0.376939097538836
81.63392814623784,100,0.44062364277735727
82.58616580089063,100,0.5150678076168121
83.58294660735125,100,0.6020894493336132
84.61939641990882,100,0.7038135554931555
85.68902265565146,100,0.8227241341700465
86.78365674259149,100,0.9617248711152965
87.89347016078798,100,1.1242100350620863
89.00708994636352,100,1.3141473626117568
90.1118473166259,100,1.536174946671828
91.19419028857257,100,1.795714494371641
92.24027122538203,100,2.0991037201085545
93.23668331144792,100,2.4537511066398165
94.17127525759713,100,2.868316813342012
95.03393699671211,100,3.3529241492495565
95.8172366816658,100,3.919406774847221
96.51680883501699,100,4.581597669054491
97.13144031749442,100,5.3556669177068965
97.66285952592513,100,6.260516572014821
98.11528636184727,100,7.318242219076174
98.49483243263528,100,8.554672535565684
98.80884832014024,100,10.0
