L,L_max,L_0,lambda
362.0387126907399,512.0,362.03867196751224,1e-07
362.0388422301137,512.0,362.03867196751224,2.1544346900318822e-07
362.03911226812886,512.0,362.03867196751224,4.641588833612782e-07
362.03966041276607,512.0,362.03867196751224,1e-06
362.04086343244103,512.0,362.03867196751224,2.1544346900318822e-06
362.0435062213646,512.0,362.03867196751224,4.641588833612773e-06
362.0490639985836,512.0,362.03867196751224,1e-05
362.0609654610792,512.0,362.03867196751224,2.1544346900318823e-05
362.08612011884884,512.0,362.03867196751224,4.641588833612772e-05
362.13828941857173,512.0,362.03867196751224,0.0001
362.2427955102428,512.0,362.03867196751224,0.00021544346900318823
362.44057459418855,512.0,362.03867196751224,0.00046415888336127773
362.78418295445925,512.0,362.03867196751224,0.001
363.3215241578134,512.0,362.03867196751224,0.002154434690031882
364.1034185430884,512.0,362.03867196751224,0.004641588833612773
365.2755415875396,512.0,362.03867196751224,0.01
367.20225604338555,512.0,362.03867196751224,0.021544346900318822
370.5639826639979,512.0,362.03867196751224,0.046415888336127725
376.48391582401507,512.0,362.03867196751224,0.1
386.6552498254597,512.0,362.03867196751224,0.21544346900318823
403.3235870317985,512.0,362.03867196751224,0.46415888336127725
428.31979828301144,512.0,362.03867196751224,1.0
