L,L_max,L_0,lambda
724.0773802998759,1024.0,724.0773439350239,1e-07
724.0776347816445,1024.0,724.0773439350239,2.1544346900318822e-07
724.0782245006608,1024.0,724.0773439350239,4.641588833612782e-07
724.0794381924871,1024.0,724.0773439350239,1e-06
724.0819809595883,1024.0,724.0773439350239,2.1544346900318822e-06
724.0877277889051,1024.0,724.0773439350239,4.641588833612773e-06
724.0997841354847,1024.0,724.0773439350239,1e-05
724.1248777700156,1024.0,724.0773439350239,2.1544346900318823e-05
724.1758001612313,1024.0,724.0773439350239,4.641588833612772e-05
724.2752760210794,1024.0,724.0773439350239,0.0001
724.4575377956965,1024.0,724.0773439350239,0.00021544346900318823
724.7618710860747,1024.0,724.0773439350239,0.00046415888336127773
725.2230738007037,1024.0,724.0773439350239,0.001
725.8898593353757,1024.0,724.0773439350239,0.002154434690031882
726.8938988358966,1024.0,724.0773439350239,0.004641588833612773
728.555297600813,1024.0,724.0773439350239,0.01
731.5099344888938,1024.0,724.0773439350239,0.021544346900318822
736.9232318357981,1024.0,724.0773439350239,0.046415888336127725
746.8928890444267,1024.0,724.0773439350239,0.1
765.0208932349396,1024.0,724.0773439350239,0.21544346900318823
796.5659699579589,1024.0,724.0773439350239,0.46415888336127725
846.1456010021559,1024.0,724.0773439350239,1.0
