L,L_max,L_0,lambda
181.01935257541132,256.0,181.01933598375624,1e-07
181.01939364836775,256.0,181.01933598375624,2.1544346900318822e-07
181.01948520460328,256.0,181.01933598375624,4.641588833612782e-07
181.01969114814653,256.0,181.01933598375624,1e-06
181.02011710930003,256.0,181.01933598375624,2.1544346900318822e-06
181.0210225843989,256.0,181.01933598375624,4.641588833612773e-06
181.02296595473058,256.0,181.01933598375624,1e-05
181.02714963936913,256.0,181.01933598375624,2.1544346900318823e-05
181.03610363045195,256.0,181.01933598375624,4.641588833612772e-05
181.05505522159046,256.0,181.01933598375624,0.0001
181.0943928858045,256.0,181.01933598375624,0.00021544346900318823
181.1732295812023,256.0,181.01933598375624,0.00046415888336127773
181.32214676628226,256.0,181.01933598375624,0.001
181.58348996766074,256.0,181.01933598375624,0.002154434690031882
182.01935615805166,256.0,181.01933598375624,0.004641588833612773
182.73779592895698,256.0,181.01933598375624,0.01
183.90059821833256,256.0,181.01933598375624,0.021544346900318822
185.7155811165572,256.0,181.01933598375624,0.046415888336127725
188.54476891689262,256.0,181.01933598375624,0.1
193.16192633058958,256.0,181.01933598375624,0.21544346900318823
200.88688310498185,256.0,181.01933598375624,0.46415888336127725
212.98401225946898,256.0,181.01933598375624,1.0
