L,L_max,L_0,lambda
181.01935684747724,256.0,181.01933598375624,1e-07
181.01943083632187,256.0,181.01933598375624,2.1544346900318822e-07
181.01958232006825,256.0,181.01933598375624,4.641588833612782e-07
181.01991135038756,256.0,181.01933598375624,1e-06
181.02062155855512,256.0,181.01933598375624,2.1544346900318822e-06
181.0221429606159,256.0,181.01933598375624,4.641588833612773e-06
181.02539138845455,256.0,181.01933598375624,1e-05
181.03230831125933,256.0,181.01933598375624,2.1544346900318823e-05
181.0468734671271,256.0,181.01933598375624,4.641588833612772e-05
181.0768198093918,256.0,181.01933598375624,0.0001
181.13574613534712,256.0,181.01933598375624,0.00021544346900318823
181.24428684441273,256.0,181.01933598375624,0.00046415888336127773
181.4266011466671,256.0,181.01933598375624,0.001
181.70275495592037,256.0,181.01933598375624,0.002154434690031882
182.09278130432915,256.0,181.01933598375624,0.004641588833612773
182.67070309084986,256.0,181.01933598375624,0.01
183.64956854190672,256.0,181.01933598375624,0.021544346900318822
185.4318819778498,256.0,181.01933598375624,0.046415888336127725
188.62351172596533,256.0,181.01933598375624,0.1
194.0440710582759,256.0,181.01933598375624,0.21544346900318823
202.7234726977955,256.0,181.01933598375624,0.46415888336127725
215.45926266528102,256.0,181.01933598375624,1.0
