L,L_max,L_0,lambda
90.50967846455092,128.0,90.5096679918781,1e-07
90.5097014110953,128.0,90.5096679918781,2.1544346900318822e-07
90.50975635522468,128.0,90.5096679918781,4.641588833612782e-07
90.50986777847308,128.0,90.5096679918781,1e-06
90.51009032829825,128.0,90.5096679918781,2.1544346900318822e-06
90.51058434647786,128.0,90.5096679918781,4.641588833612773e-06
90.51165090911215,128.0,90.5096679918781,1e-05
90.51394556668507,128.0,90.5096679918781,2.1544346900318823e-05
90.51884290848317,128.0,90.5096679918781,4.641588833612772e-05
90.52923293818039,128.0,90.5096679918781,0.0001
90.55089571313891,128.0,90.5096679918781,0.00021544346900318823
90.59462246754853,128.0,90.5096679918781,0.00046415888336127773
90.67817696739445,128.0,90.5096679918781,0.001
90.82628198863038,128.0,90.5096679918781,0.002154434690031882
91.07004272747655,128.0,90.5096679918781,0.004641588833612773
91.44886537966812,128.0,90.5096679918781,0.01
92.01997496727887,128.0,90.5096679918781,0.021544346900318822
92.90939196584296,128.0,90.5096679918781,0.046415888336127725
94.40591628032395,128.0,90.5096679918781,0.1
97.00621260967955,128.0,90.5096679918781,0.21544346900318823
101.33894362644128,128.0,90.5096679918781,0.46415888336127725
107.81087151039196,128.0,90.5096679918781,1.0
