L,L_max,L_0,lambda
2896.309712457183,4096.0,2896.3093757401125,1e-07
2896.311383425662,4096.0,2896.3093757401125,2.1544346900318822e-07
2896.3266760803776,4096.0,2896.3093757401125,4.641588833612782e-07
2896.4290595619404,4096.0,2896.3093757401125,1e-06
2896.5638782840806,4096.0,2896.3093757401125,2.1544346900318822e-06
2896.709292451751,4096.0,2896.3093757401125,4.641588833612773e-06
2896.859748927329,4096.0,2896.3093757401125,1e-05
2897.067568785753,4096.0,2896.3093757401125,2.1544346900318823e-05
2897.4190991653313,4096.0,2896.3093757401125,4.641588833612772e-05
2898.018613731757,4096.0,2896.3093757401125,0.0001
2899.008451299921,4096.0,2896.3093757401125,0.00021544346900318823
2900.5914006587573,4096.0,2896.3093757401125,0.00046415888336127773
2903.054279936594,4096.0,2896.3093757401125,0.001
2906.8015463506317,4096.0,2896.3093757401125,0.002154434690031882
2912.5241352242565,4096.0,2896.3093757401125,0.004641588833612773
2921.5464365336734,4096.0,2896.3093757401125,0.01
2936.2902571745626,4096.0,2896.3093757401125,0.021544346900318822
2961.1589746517907,4096.0,2896.3093757401125,0.046415888336127725
3004.1499197885723,4096.0,2896.3093757401125,0.1
3078.8869299582575,4096.0,2896.3093757401125,0.21544346900318823
3205.4782593575555,4096.0,2896.3093757401125,0.46415888336127725
3402.177047833715,4096.0,2896.3093757401125,1.0
