L,L_max,L_0,lambda
181.019344721992,256.0,181.01933598375624,1e-07
181.01937091019042,256.0,181.01933598375624,2.1544346900318822e-07
181.01945831718194,256.0,181.01933598375624,4.641588833612782e-07
181.0196519019171,256.0,181.01933598375624,1e-06
181.02007050782322,256.0,181.01933598375624,2.1544346900318822e-06
181.0209703460057,256.0,181.01933598375624,4.641588833612773e-06
181.02288060850003,256.0,181.01933598375624,1e-05
181.02692972649336,256.0,181.01933598375624,2.1544346900318823e-05
181.03534354725468,256.0,181.01933598375624,4.641588833612772e-05
181.0522495428766,256.0,181.01933598375624,0.0001
181.0842939549446,256.0,181.01933598375624,0.00021544346900318823
181.14040111590356,256.0,181.01933598375624,0.00046415888336127773
181.2339146154573,256.0,181.01933598375624,0.001
181.39134465717132,256.0,181.01933598375624,0.002154434690031882
181.6633911375083,256.0,181.01933598375624,0.004641588833612773
182.13662933342826,256.0,181.01933598375624,0.01
182.96866394172895,256.0,181.01933598375624,0.021544346900318822
184.45373138561592,256.0,181.01933598375624,0.046415888336127725
187.12059195166722,256.0,181.01933598375624,0.1
191.84088786380136,256.0,181.01933598375624,0.21544346900318823
199.84594448040312,256.0,181.01933598375624,0.46415888336127725
212.23360453111033,256.0,181.01933598375624,1.0
