L,L_max,L_0,lambda
724.0774151213835,1024.0,724.0773439350239,1e-07
724.0778275600273,1024.0,724.0773439350239,2.1544346900318822e-07
724.0791178650045,1024.0,724.0773439350239,4.641588833612782e-07
724.0825121837647,1024.0,724.0773439350239,1e-06
724.0895678189397,1024.0,724.0773439350239,2.1544346900318822e-06
724.1045212318927,1024.0,724.0773439350239,4.641588833612773e-06
724.1338996010284,1024.0,724.0773439350239,1e-05
724.1892044941401,1024.0,724.0773439350239,2.1544346900318823e-05
724.2864344841489,1024.0,724.0773439350239,4.641588833612772e-05
724.4502319930725,1024.0,724.0773439350239,0.0001
724.7113696322821,1024.0,724.0773439350239,0.00021544346900318823
725.098934462055,1024.0,724.0773439350239,0.00046415888336127773
725.6659612270013,1024.0,724.0773439350239,0.001
726.5510059636272,1024.0,724.0773439350239,0.002154434690031882
727.996737928332,1024.0,724.0773439350239,0.004641588833612773
730.3660347682708,1024.0,724.0773439350239,0.01
734.2626557031126,1024.0,724.0773439350239,0.021544346900318822
740.82390055322,1024.0,724.0773439350239,0.046415888336127725
752.1549684461095,1024.0,724.0773439350239,0.1
771.8066417400279,1024.0,724.0773439350239,0.21544346900318823
804.7713698013611,1024.0,724.0773439350239,0.46415888336127725
854.985584219522,1024.0,724.0773439350239,1.0
