L,L_max,L_0,lambda
1448.1548073529898,2048.0,1448.1546878700515,1e-07
1448.1560110198293,2048.0,1448.1546878700515,2.1544346900318822e-07
1448.1752240913227,2048.0,1448.1546878700515,4.641588833612782e-07
1448.2144731838828,2048.0,1448.1546878700515,1e-06
1448.2912390937083,2048.0,1448.1546878700515,2.1544346900318822e-06
1448.4118347833823,2048.0,1448.1546878700515,4.641588833612773e-06
1448.565546144261,2048.0,1448.1546878700515,1e-05
1448.748347860828,2048.0,1448.1546878700515,2.1544346900318823e-05
1448.9496313177133,2048.0,1448.1546878700515,4.641588833612772e-05
1449.2410585941968,2048.0,1448.1546878700515,0.0001
1449.6818585607289,2048.0,1448.1546878700515,0.00021544346900318823
1450.33801681025,2048.0,1448.1546878700515,0.00046415888336127773
1451.3272460345497,2048.0,1448.1546878700515,0.001
1452.9129511146953,2048.0,1448.1546878700515,0.002154434690031882
1455.5543353019543,2048.0,1448.1546878700515,0.004641588833612773
1459.9759703878499,2048.0,1448.1546878700515,0.01
1467.425815224171,2048.0,1448.1546878700515,0.021544346900318822
1480.1493931857692,2048.0,1448.1546878700515,0.046415888336127725
1502.2036646707415,2048.0,1448.1546878700515,0.1
1540.5879604216525,2048.0,1448.1546878700515,0.21544346900318823
1605.3924980623472,2048.0,1448.1546878700515,0.46415888336127725
1704.9379464996057,2048.0,1448.1546878700515,1.0
