L,L_max,L_0,lambda
181.0193427013171,256.0,181.01933598375624,1e-07
181.01936151317926,256.0,181.01933598375624,2.1544346900318822e-07
181.01943632946228,256.0,181.01933598375624,4.641588833612782e-07
181.01958166177582,256.0,181.01933598375624,1e-06
181.01989749372174,256.0,181.01933598375624,2.1544346900318822e-06
181.02061811735547,256.0,181.01933598375624,4.641588833612773e-06
181.02208020185947,256.0,181.01933598375624,1e-05
181.02522695748954,256.0,181.01933598375624,2.1544346900318823e-05
181.03171322249443,256.0,181.01933598375624,4.641588833612772e-05
181.04481509750795,256.0,181.01933598375624,0.0001
181.06987582434647,256.0,181.01933598375624,0.00021544346900318823
181.11432923560164,256.0,181.01933598375624,0.00046415888336127773
181.18851900242024,256.0,181.01933598375624,0.001
181.31120454439198,256.0,181.01933598375624,0.002154434690031882
181.52279530493473,256.0,181.01933598375624,0.004641588833612773
181.90916450250853,256.0,181.01933598375624,0.01
182.6393006164996,256.0,181.01933598375624,0.021544346900318822
184.02646392930237,256.0,181.01933598375624,0.046415888336127725
186.6346122508125,256.0,181.01933598375624,0.1
191.41345153261426,256.0,181.01933598375624,0.21544346900318823
199.68866741286965,256.0,181.01933598375624,0.46415888336127725
212.47976356042338,256.0,181.01933598375624,1.0
