L,L_max,L_0,lambda
181.0193498438134,256.0,181.01933598375624,1e-07
181.0194354492917,256.0,181.01933598375624,2.1544346900318822e-07
181.01963941424225,256.0,181.01933598375624,4.641588833612782e-07
181.02007690075357,256.0,181.01933598375624,1e-06
181.02105598401045,256.0,181.01933598375624,2.1544346900318822e-06
181.0230648374237,256.0,181.01933598375624,4.641588833612773e-06
181.02721496199763,256.0,181.01933598375624,1e-05
181.03594436201288,256.0,181.01933598375624,2.1544346900318823e-05
181.05384273735547,256.0,181.01933598375624,4.641588833612772e-05
181.08871039784844,256.0,181.01933598375624,0.0001
181.1504610349221,256.0,181.01933598375624,0.00021544346900318823
181.24559301376283,256.0,181.01933598375624,0.00046415888336127773
181.37427267222392,256.0,181.01933598375624,0.001
181.54840984813637,256.0,181.01933598375624,0.002154434690031882
181.81571945225494,256.0,181.01933598375624,0.004641588833612773
182.2612946305945,256.0,181.01933598375624,0.01
183.0174539897477,256.0,181.01933598375624,0.021544346900318822
184.3240511878911,256.0,181.01933598375624,0.046415888336127725
186.65787353940902,256.0,181.01933598375624,0.1
190.9049525049811,256.0,181.01933598375624,0.21544346900318823
198.45723913389082,256.0,181.01933598375624,0.46415888336127725
210.67740578022364,256.0,181.01933598375624,1.0
