L,L_max,L_0,lambda
362.04229985239544,512.0,362.03867196751224,1e-07
362.05005659078176,512.0,362.03867196751224,2.1544346900318822e-07
362.0630255288215,512.0,362.03867196751224,4.641588833612782e-07
362.0924176886519,512.0,362.03867196751224,1e-06
362.1521295146651,512.0,362.03867196751224,2.1544346900318822e-06
362.27780149465343,512.0,362.03867196751224,4.641588833612773e-06
362.538040473325,512.0,362.03867196751224,1e-05
363.0475675567624,512.0,362.03867196751224,2.1544346900318823e-05
363.97672657694324,512.0,362.03867196751224,4.641588833612772e-05
365.4360142321858,512.0,362.03867196751224,0.0001
367.3642424197473,512.0,362.03867196751224,0.00021544346900318823
369.59968220481676,512.0,362.03867196751224,0.00046415888336127773
372.090871764603,512.0,362.03867196751224,0.001
374.89615688263893,512.0,362.03867196751224,0.002154434690031882
378.1912729471603,512.0,362.03867196751224,0.004641588833612773
382.2757390506161,512.0,362.03867196751224,0.01
387.33760283218135,512.0,362.03867196751224,0.021544346900318822
393.44396175391097,512.0,362.03867196751224,0.046415888336127725
401.12349397066134,512.0,362.03867196751224,0.1
411.75656361390577,512.0,362.03867196751224,0.21544346900318823
427.1383094695756,512.0,362.03867196751224,0.46415888336127725
448.13554211701694,512.0,362.03867196751224,1.0
