L,L_max,L_0,lambda
1448.1585760426033,2048.0,1448.1546878700515,1e-07
1448.1681597376696,2048.0,1448.1546878700515,2.1544346900318822e-07
1448.1822378767965,2048.0,1448.1546878700515,4.641588833612782e-07
1448.2179798898394,2048.0,1448.1546878700515,1e-06
1448.2971711664063,2048.0,1448.1546878700515,2.1544346900318822e-06
1448.4604222838766,2048.0,1448.1546878700515,4.641588833612773e-06
1448.7963997383272,2048.0,1448.1546878700515,1e-05
1449.4769879245528,2048.0,1448.1546878700515,2.1544346900318823e-05
1450.8134989104683,2048.0,1448.1546878700515,4.641588833612772e-05
1453.292236010528,2048.0,1448.1546878700515,0.0001
1457.4923904665952,2048.0,1448.1546878700515,0.00021544346900318823
1463.8459633299512,2048.0,1448.1546878700515,0.00046415888336127773
1472.413374806627,2048.0,1448.1546878700515,0.001
1483.0092554979815,2048.0,1448.1546878700515,0.002154434690031882
1495.6574425176454,2048.0,1448.1546878700515,0.004641588833612773
1510.783074439859,2048.0,1448.1546878700515,0.01
1529.2367340427834,2048.0,1448.1546878700515,0.021544346900318822
1552.6867194949468,2048.0,1448.1546878700515,0.046415888336127725
1583.7685921836432,2048.0,1448.1546878700515,0.1
1626.5806005960872,2048.0,1448.1546878700515,0.21544346900318823
1687.544193691506,2048.0,1448.1546878700515,0.46415888336127725
1772.2959000405365,2048.0,1448.1546878700515,1.0
