L,L_max,L_0,lambda
90.50980205655016,128.0,90.5096679918781,1e-07
90.50999143764253,128.0,90.5096679918781,2.1544346900318822e-07
90.51041516277657,128.0,90.5096679918781,4.641588833612782e-07
90.51131736014456,128.0,90.5096679918781,1e-06
90.51322928066344,128.0,90.5096679918781,2.1544346900318822e-06
90.5173558821522,128.0,90.5096679918781,4.641588833612773e-06
90.52624634707556,128.0,90.5096679918781,1e-05
90.5452984342405,128.0,90.5096679918781,2.1544346900318823e-05
90.58581524109746,128.0,90.5096679918781,4.641588833612772e-05
90.67076291513946,128.0,90.5096679918781,0.0001
90.84364129888812,128.0,90.5096679918781,0.00021544346900318823
91.17561990368624,128.0,90.5096679918781,0.00046415888336127773
91.74954906532639,128.0,90.5096679918781,0.001
92.60160944740664,128.0,90.5096679918781,0.002154434690031882
93.7018860538082,128.0,90.5096679918781,0.004641588833612773
95.08666481240515,128.0,90.5096679918781,0.01
96.89137712061215,128.0,90.5096679918781,0.021544346900318822
99.13498279585426,128.0,90.5096679918781,0.046415888336127725
101.66090858929348,128.0,90.5096679918781,0.1
104.47164868051968,128.0,90.5096679918781,0.21544346900318823
107.99143297035488,128.0,90.5096679918781,0.46415888336127725
112.72936782832542,128.0,90.5096679918781,1.0
