L,L_max,L_0,lambda
724.1259643992807,1024.0,724.0773439350239,1e-07
724.1860728565124,1024.0,724.0773439350239,2.1544346900318822e-07
724.3198325826254,1024.0,724.0773439350239,4.641588833612782e-07
724.6008951889914,1024.0,724.0773439350239,1e-06
725.2019992246607,1024.0,724.0773439350239,2.1544346900318822e-06
726.464927141971,1024.0,724.0773439350239,4.641588833612773e-06
729.0397203176447,1024.0,724.0773439350239,1e-05
733.9994948459602,1024.0,724.0773439350239,2.1544346900318823e-05
742.5658210783859,1024.0,724.0773439350239,4.641588833612772e-05
754.9707482792428,1024.0,724.0773439350239,0.0001
768.926075954012,1024.0,724.0773439350239,0.00021544346900318823
781.3275979113694,1024.0,724.0773439350239,0.00046415888336127773
791.6427445272396,1024.0,724.0773439350239,0.001
800.8032917276485,1024.0,724.0773439350239,0.002154434690031882
809.382819775047,1024.0,724.0773439350239,0.004641588833612773
817.8941070115857,1024.0,724.0773439350239,0.01
826.9115477771584,1024.0,724.0773439350239,0.021544346900318822
837.2206576000219,1024.0,724.0773439350239,0.046415888336127725
850.1473056388961,1024.0,724.0773439350239,0.1
867.3472460863761,1024.0,724.0773439350239,0.21544346900318823
890.9046382668182,1024.0,724.0773439350239,0.46415888336127725
922.7483286848365,1024.0,724.0773439350239,1.0
