L,L_max,L_0,lambda
362.0388528210452,512.0,362.03867196751224,1e-07
362.03929188226306,512.0,362.03867196751224,2.1544346900318822e-07
362.0404077483897,512.0,362.03867196751224,4.641588833612782e-07
362.04279840592477,512.0,362.03867196751224,1e-06
362.04785794646847,512.0,362.03867196751224,2.1544346900318822e-06
362.0587676018228,512.0,362.03867196751224,4.641588833612773e-06
362.0818557203694,512.0,362.03867196751224,1e-05
362.1295923290303,512.0,362.03867196751224,2.1544346900318823e-05
362.2250360648056,512.0,362.03867196751224,4.641588833612772e-05
362.4061286228798,512.0,362.03867196751224,0.0001
362.7323056754283,512.0,362.03867196751224,0.00021544346900318823
363.2943369312545,512.0,362.03867196751224,0.00046415888336127773
364.229751677807,512.0,362.03867196751224,0.001
365.72858605029256,512.0,362.03867196751224,0.002154434690031882
368.0026123546676,512.0,362.03867196751224,0.004641588833612773
371.30320215725794,512.0,362.03867196751224,0.01
376.0609145643201,512.0,362.03867196751224,0.021544346900318822
382.9235383167353,512.0,362.03867196751224,0.046415888336127725
392.6812343559311,512.0,362.03867196751224,0.1
406.38200028777976,512.0,362.03867196751224,0.21544346900318823
425.17349172054344,512.0,362.03867196751224,0.46415888336127725
449.01496373845157,512.0,362.03867196751224,1.0
