L,L_max,L_0,lambda
362.0388440224559,512.0,362.03867196751224,1e-07
362.03946820179715,512.0,362.03867196751224,2.1544346900318822e-07
362.041137140325,512.0,362.03867196751224,4.641588833612782e-07
362.04461630405103,512.0,362.03867196751224,1e-06
362.05198724259475,512.0,362.03867196751224,2.1544346900318822e-06
362.06798276581907,512.0,362.03867196751224,4.641588833612773e-06
362.10072656913377,512.0,362.03867196751224,1e-05
362.1652620979918,512.0,362.03867196751224,2.1544346900318823e-05
362.2859713906798,512.0,362.03867196751224,4.641588833612772e-05
362.49313888037364,512.0,362.03867196751224,0.0001
362.8152975112795,512.0,362.03867196751224,0.00021544346900318823
363.30344086663376,512.0,362.03867196751224,0.00046415888336127773
364.0511700717748,512.0,362.03867196751224,0.001
365.18744422376557,512.0,362.03867196751224,0.002154434690031882
366.9546242082294,512.0,362.03867196751224,0.004641588833612773
369.82215398955344,512.0,362.03867196751224,0.01
374.4096403482338,512.0,362.03867196751224,0.021544346900318822
381.3157826246311,512.0,362.03867196751224,0.046415888336127725
391.15260587930527,512.0,362.03867196751224,0.1
404.9669383155743,512.0,362.03867196751224,0.21544346900318823
424.2445029519238,512.0,362.03867196751224,0.46415888336127725
449.02688556695193,512.0,362.03867196751224,1.0
