L,L_max,L_0,lambda
2896.3144226456548,4096.0,2896.3093757401125,1e-07
2896.3342488367402,4096.0,2896.3093757401125,2.1544346900318822e-07
2896.43909989856,4096.0,2896.3093757401125,4.641588833612782e-07
2896.6855412616724,4096.0,2896.3093757401125,1e-06
2897.0696971623215,4096.0,2896.3093757401125,2.1544346900318822e-06
2897.589289278894,4096.0,2896.3093757401125,4.641588833612773e-06
2898.3519847250423,4096.0,2896.3093757401125,1e-05
2899.5161208575114,4096.0,2896.3093757401125,2.1544346900318823e-05
2901.3417706017667,4096.0,2896.3093757401125,4.641588833612772e-05
2904.1459985709066,4096.0,2896.3093757401125,0.0001
2908.3644074350127,4096.0,2896.3093757401125,0.00021544346900318823
2914.5632908837492,4096.0,2896.3093757401125,0.00046415888336127773
2923.608203611875,4096.0,2896.3093757401125,0.001
2936.8348011050757,4096.0,2896.3093757401125,0.002154434690031882
2956.183536287327,4096.0,2896.3093757401125,0.004641588833612773
2984.33726273494,4096.0,2896.3093757401125,0.01
3024.6947382245617,4096.0,2896.3093757401125,0.021544346900318822
3081.7848823819613,4096.0,2896.3093757401125,0.046415888336127725
3162.3260718286074,4096.0,2896.3093757401125,0.1
3275.067701077266,4096.0,2896.3093757401125,0.21544346900318823
3427.577297168024,4096.0,2896.3093757401125,0.46415888336127725
3617.22681941707,4096.0,2896.3093757401125,1.0
