L,L_max,L_0,lambda
362.03894457252045,512.0,362.03867196751224,9.999999999999997e-08
362.03977690275406,512.0,362.03867196751224,2.1544346900318832e-07
362.0416413648112,512.0,362.03867196751224,4.641588833612781e-07
362.04549212568423,512.0,362.03867196751224,1.0000000000000002e-06
362.05378908681064,512.0,362.03867196751224,2.154434690031882e-06
362.07147379523246,512.0,362.03867196751224,4.641588833612773e-06
362.10805412756304,512.0,362.03867196751224,1e-05
362.18201667392043,512.0,362.03867196751224,2.1544346900318823e-05
362.32311983293386,512.0,362.03867196751224,4.641588833612771e-05
362.57152399602563,512.0,362.03867196751224,0.00010000000000000003
362.9749995060588,512.0,362.03867196751224,0.00021544346900309998
363.6068463008404,512.0,362.03867196751224,0.0004641588833612001
364.59249057791106,512.0,362.03867196751224,0.0010000000000000005
366.1092033688142,512.0,362.03867196751224,0.0021544346900317997
368.39834810637547,512.0,362.03867196751224,0.0046415888336127
371.78565710571104,512.0,362.03867196751224,0.01
376.7116839195066,512.0,362.03867196751224,0.021544346900318808
383.8196058124112,512.0,362.03867196751224,0.046415888336127684
393.9960307797007,512.0,362.03867196751224,0.10000000000000002
408.2724852099637,512.0,362.03867196751224,0.21544346900318823
427.55250728843924,512.0,362.03867196751224,0.4641588833612771
451.56155044360315,512.0,362.03867196751224,1.0
